row_id,review_label,review_note,retrieval_rank,token_f1,rouge_l,grounding,question,reference,generated_answer
552,terse_incomplete,Generated answer is much shorter than the reference and misses required procedural or legal detail.,1,0.000,0.000,1.000,What legal actions is the applicant seeking in this case against the Union of India?,"The applicant is seeking to set aside two orders from the respondents, issue an order directing the respondents to reinstate him in service and grant all consequential benefits, including salary.",reliefs
11019,semantic_mismatch,Question and generated answer appear misaligned with the reference despite context availability.,1,0.000,0.000,1.000,What are the recommended members for the Monitoring Committee to ensure the proper functioning of the Sanghom?,"1. Mr. Justice T V Rama Krishnan, Retired Judge, Kerala High Court, Anugraha, P J Antony Grounds Road, Pachalam, Kochi 682 012
2. Mr. Justice C S Rajan, Retired Judge, Kerala High Court",eminent and committed followers of Sree Narayana Guru
24175,terse_incomplete,Generated answer is much shorter than the reference and misses required procedural or legal detail.,1,0.000,0.000,1.000,"In the context of the Indian Penal Code, if someone enters a house with the intent to commit an offense punishable with imprisonment for life, which section would be applicable, and what is the maximum sentence they could face?","Section 457 of the Indian Penal Code would be applicable, and the maximum sentence they could face is imprisonment for a term not exceeding ten years.",s House-trespass
4762,terse_incomplete,Generated answer is much shorter than the reference and misses required procedural or legal detail.,1,0.000,0.000,1.000,"Under Section 2(6A)(e) of the Act, which categories of payments can be considered within the ""mischief"" of the provision?",There are undoubtedly other categories of payments referred to in Section 2(6A)(e) within the meaning of which the payments in the present case undoubtedly fall.,'loan'
3276,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",2,0.000,0.000,1.000,What actions can a State Government take regarding foodstuffs according to the given conditions?,"A State Government can exercise powers regarding foodstuffs subject to the following conditions:
1. Such powers must comply with any directions issued by the Central Government.
2. Before making an order related to specified matters (clauses a, c, or f) or distribution, disposal, or regulation of transport of foodstuffs to places outside the State, the State Government must obtain prior concurrence from the Central Government.
3. When making an order related to certain matters (clause j), the State Government must authorize only an authorized officer.",make rules
19514,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",,0.000,0.000,1.000,Could you tell me about the location where the incident took place and the involved individuals?,"The incident took place on the road from Hosahatti to Kabbala, near a ditch on the right side of the road. The involved individuals were prosecutrix, respondent (Manjanna), Gowramma (prosecutrix's mother), Ramaiah (prosecutrix's father), Shardamma (prosecutrix's sister), Yellabovi, and Kumara.",Mango orchard
4399,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",,0.000,0.000,1.000,What legal remedy can be sought if a party fails to file the required court fee stamp within the given timeframe?,"If a party fails to file the required court fee stamp within the given timeframe, the application may stand rejected without further reference to a Bench.",accounts
24894,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",2,0.000,0.000,1.000,What provision allows for appealing to the public to vote for a specific candidate based on their religion?,"Section  uses the expression ""on the ground of his religion,"" which allows for appealing to the public to vote for a specific candidate based on their religion.",123(2)
3366,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",,0.000,0.000,0.500,Could you provide a summary of the legal principle applied in this case regarding the right of appeal?,A party cannot be deprived of their right of appeal simply because the order in question was purported to be made under an unappealable provision.,context does not provide enough information
4406,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.286,The CBSE's elaborate procedure for setting and evaluating exam papers ensures fairness and consistency across different schools and categories.,"Yes, CBSE's elaborate procedure for setting and evaluating exam papers ensures fairness and consistency across different schools and categories. This is achieved through careful selection and experience requirements for paper setters, moderation by a team of experts, and measures such as setting multiple versions of question papers and assigning fictitious roll numbers to conceal students' identities during evaluation.",The context does not provide enough information.
21969,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.143,Efforts to prevent crime should focus on empowering police officials and addressing public distrust to enhance law enforcement effectiveness.,"Yes, efforts to prevent crime should focus on empowering police officials and addressing public distrust to enhance law enforcement effectiveness. Empowering police can help reduce procedural delays and increase efficiency, while improving public trust can lead to better cooperation and support for law enforcement efforts.",The context does not provide enough information.
16325,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",,0.000,0.000,0.000,Can a family member act as a witness in a criminal case?,"Yes, a family member can act as a witness in a criminal case.",no
16622,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",,0.000,0.000,0.000,Can a candidate who is selected in an open competition for a general post be excluded from the reserved category even if they belong to a reserved category?,"If a person belonging to any of the categories mentioned in sub-section gets selected on the basis of merit in an open competition with general candidates, he shall not be adjusted against the vacancies reserved for such category under sub-section.",no
14359,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",,0.000,0.000,0.000,Can you provide a summary of the procedures outlined for recording evidence and conducting investigations in disciplinary proceedings for government servants?,"In disciplinary proceedings for government servants, sufficient reasons must be recorded in writing for refusing to call a witness. The proceedings must contain a record of evidence and a statement of findings and grounds. If no formal charges are initially framed, a Board of Inquiry may be held, after which a Charge Sheet is served, and the servant can submit a defense statement, examine or cross-examine witnesses, unless special and sufficient reasons are recorded in writing. The servant’s defense is considered in light of the evidence. If the penalty proposed is dismissal, removal, or reduction, the servant must be called to show cause against the penalty within two weeks. Any representations are considered before final orders are passed.",""""
21339,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",8,0.000,0.000,0.000,Can the court consider framing charges under Sections 295 and 298 of the IPC against the accused based on the evidence presented?,"Based on the document, the court has not mentioned Sections 295 and 298 of the IPC. The document discusses the possibility of considering charges under Sections -A, -, and - of the IPC, but does not include Sections 295 and 298. Therefore, the answer is not available from the given information.",no
17793,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",,0.000,0.000,0.000,Can you provide the specific terms and conditions for the bail of the petitioners mentioned in the document?,"The petitioners shall be released on bail subject to the following terms and conditions:
1. They must execute bonds for Rs 50,000 each with two solvent sureties each for the like sum to the satisfaction of the learned Magistrate.
2. They must make themselves available for interrogation before the investigating officer between 10 a.m. and 12 noon on all Mondays and Fridays for a period of two months and thereafter as and when directed by the investigating officer in writing.
3. They must not enter the Sessions Division of Kasaragod without the prior permission of the learned Magistrate except for the purpose of complying with condition No. 2 above.",D
3246,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,Could you please confirm the time when the deceased was taken for her last rites and cremation based on the testimonies provided?,"Based on the testimonies provided, the deceased was taken for her last rites and cremation around 8:00 a.m.",8 00 a m
28860,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",,0.000,0.000,0.000,Can a petitioner waive the service of rule in a legal proceeding?,"No, the petitioner cannot waive the service of rule in a legal proceeding. In this case, Mr. M R Mengdey, the learned Assistant Government Pleader, waived service of rule on behalf of respondent no 3.",Yes
2492,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,Can a guest faculty member challenge the decision of the state to appoint another guest faculty member in the same institution under the Chhattisgarh Higher Education Act?,"From the information provided, it is not clear if a guest faculty member can challenge the decision of the state to appoint another guest faculty member in the same institution under the Chhattisgarh Higher Education Act. The document lists several guest faculty members and their work details but does not provide any regulations or precedents regarding challenges to state appointments. Without specific legal provisions mentioned, the answer cannot be definitively confirmed or denied based solely on this document.",Yes
13918,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,Could the validity and legality of the contract between Modi Food Products Limited and another party be established in arbitration proceedings?,"Yes, the validity and legality of the contract could be established in arbitration proceedings, as these are not governed by the procedural technicalities of civil court proceedings and the Arbitrator acts as a forum chosen by the parties to replace the civil Court.",no
5301,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,"Can the ancestral land, which is subject to a custom and has been inherited by the son upon his father's death, be sold in execution of a decree against the father?","No, the ancestral land, which is subject to custom and has been inherited by the son upon his father's death, cannot be sold in execution of a decree against the father, as this would be in violation of Section 9 of the Punjab Debtors' Protection Act.",yes
18923,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,Could you explain the obligation of the disciplinary authority to provide a copy of the enquiry report to the employee before serving the order of dismissal?,"The disciplinary authority was obliged to provide the employee with a copy of the enquiry report before serving the order of dismissal, as required by Rule 9(4) of the 1970 Rules. Failure to do so caused serious prejudice to the employee's defense.",no
20273,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,"Can you list the matter along with Civil Misc Case No 864 (C) of 2001 for hearing, as requested in the order dated 3rd February, 2010?","List the matter along with Civil Misc Case No 864 (C) of 2001 for hearing, as requested in the order dated 3rd February, 2010.",Yes
9323,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",8,0.000,0.000,0.000,Can the High Court quash criminal proceedings under Section 482 of the CrPC without examining the truthfulness of the FIR allegations?,"Yes, the High Court can quash criminal proceedings under Section 482 of the CrPC without examining the truthfulness of the FIR allegations, but it must determine whether a cognizable offence has been committed based on the allegations made in the FIR.",No
23837,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,"Can an aggrieved party make a written application for a certificate of appeal to the Supreme Court, given that Article 134A primarily contemplates oral applications or the High Court's suo motu power?","While Article 134A primarily contemplates oral applications or the High Court's suo motu power, an aggrieved party is not expressly barred from making a written application for a certificate of appeal to the Supreme Court.",No
20102,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",2,0.000,0.000,0.000,Can a witness's testimony be disregarded if there are material discrepancies and they are related to the deceased?,"Yes, if a witness's testimony contains material discrepancies and the witness is related to the deceased, their evidence can be discarded.",no
22977,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,Can the court please clarify the extent of the property lease granted to the Appellant based on the documents provided?,"Based on the documents provided, the Appellant was granted a licence only for an extent of 1750 sq ft, specifically for Shop Nos 3 and 4. The Appellant cannot contend for an extent of 6252.5 sq ft without producing valid documents.",Yes
22994,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,"Can you provide more information on Subsection 14(d) in the Prevention of Money Laundering (Amendment) Act, 2012?","Subsection 14(d) in the Prevention of Money Laundering (Amendment) Act, 2012 includes a proviso that is to be substituted with new wording, though the specific content of this proviso is not detailed in the provided document.",Yes
19797,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,"What is the judgment regarding the pensionary benefits for H P Aithala, the retired principal of Vaikunta Baliga College of Law?","The writ petition filed by H P Aithala was allowed, quashing the order of collegiate education and directing the appellant to consider Aithala's case for fixation of pensionary benefits within three months from the date of receipt of the order.",a
3379,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",4,0.000,0.000,0.000,"Can you confirm the details of the shareholding agreement and the individuals involved, such as the number of shares held by each respondent and any agreements made regarding the sale of shares?","3,652 shares were involved in the agreement. The shareholdings are as follows: Respondent No 1 (249 shares), Respondent No 2 (136 shares, currently 136 shares held and seized by police), Respondent No 3 (114 shares), Respondent No 4 (84 shares), Respondent No 5 (69 shares), and Respondent No 6 (2,480 shares). Himangshu Dutt held 1,326 shares, Krishna Gopal Kundu Saha held 96 shares, and Nandalal Saha held 100 shares. The agreement was signed based on representations made by Respondents No 1 and 2 to Respondent No 4, who relied on these representations and the alleged agreement with Himangshu Dutt and Shyamananda Saha (Respondent No 6). Respondent No 6 denied making any such representation and claimed his shares were recorded in his name only.",Yes
13060,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",4,0.000,0.000,0.000,Can failing to provide reasons for a decision be considered a violation of natural justice?,"Yes, failing to provide reasons for a decision can be considered a violation of natural justice. The document states that giving reasons is a basic principle of natural justice and that mere pretence of compliance with this requirement would not satisfy the law. Furthermore, it emphasizes that reasons must be disclosed to ensure confidence in the decision-making process, minimize arbitrariness, and comply with the rule of law.",no
23153,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,Can the guardian court's sanction for the sale of a minor's property without prior inquiry be considered valid in the absence of fraud?,"If the guardian court's sanction for the sale of a minor's property is given without proper inquiry and in the absence of fraud, the transaction is merely voidable, not void. This means the alienee can rely on the sanction, but the minor or a person claiming through the minor can still challenge the transaction in court.",No
10819,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,Can you find a case where a machinery for a composite felt making plant that uses jute was still eligible for a 25% duty under a specific notification?,"In the case of Hemraj Gordhandas v H H Dave, Collector of Central Excise and Customs, Surat and Ors (1978 (2) E L T (J 350)), the importer claimed that the machinery for a composite felt making plant using jute could still be eligible for a 25% duty under a specific notification, arguing that the use of jute did not preclude the benefit of the notification. However, the opposing counsel argued that the description in the bill of entry and other materials showed the importer's intent was for expansion and not for a jute industry, and that the importer had not utilized the machinery for jute products to any significant extent.",Yes
14150,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",,0.000,0.000,0.000,Can a political party be held responsible for the actions of its members during a protest?,"A political party can be held responsible for the actions of its members during a protest, as suggested by the speaker who urges leaders to take action against those responsible for injustices against the Sikh community.",Yes
6965,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,"Can a secretary call an extraordinary general meeting without authorization from the board of directors, according to the principles established in the case of (1867) 2 Ex 158?","No, according to the principles established in the case of (1867) 2 Ex 158, a secretary cannot call an extraordinary general meeting without authorization from the board of directors. The case indicated that the secretary must have the consent of all directors unanimously to form a quorum for the meeting of the board of directors.",Yes
3510,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",,0.000,0.000,0.000,Can a will's条款能否影响不动产的继承权取决于哪些法律规定？,影响遗嘱中不动产继承权的法律规定取决于《布哈迪和纳尔瓦达里法案》1862年第5号法案。,No
22717,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,would the wakf board consider fresh offers for the wakf property after receiving objections and suggestions?,"Yes, the Wakf Board would consider fresh offers for the Wakf property after receiving objections and suggestions.",no
14052,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",,0.000,0.000,0.000,Could you verify the dates and details of the FIR and the allotment of quarters mentioned in the police case?,"The FIR was lodged on 20 September 2000, but the occurrence is said to have taken place on 13 September 2000. The petitioner was allotted quarter No NHS 9 on 23 September 1999, and the son of the informant was allotted a quarter on 5 September 2000.",Yes
12915,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,Can the actions of Ranga and Billa be considered self-defense under the law?,"No, the actions of Ranga and Billa cannot be considered self-defense under the law. Their actions appear to be premeditated and violent, involving murder and sexual assault. Self-defense typically requires a immediate and reasonable response to an ongoing threat, which is not evident in this case.",Yes
22258,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,Can the delay in initiating legal action serve as a bar to an authority's ability to annul a sale transaction under the Bombay Land Revenue Code?,"Yes, under certain circumstances, the delay in initiating legal action can serve as a bar to an authority's ability to annul a sale transaction, especially if it leads to prejudice to the parties' rights, causes an irreversible situation, and the transaction has been known to the revenue authority for a prolonged period, as stated in the document.",no
8724,retrieval_mismatch,"Gold context was not retrieved at rank 1, so the generator likely answered from a distractor passage.",2,0.000,0.000,0.000,Can a statute be considered unreasonable if it does not explicitly name an employer for labor welfare purposes?,"No, a statute does not necessarily need to name an employer explicitly for labor welfare purposes to be considered reasonable. The court in the Tradesvel Security case found that even without explicitly naming an employer, the Security Guards Act and Scheme identified the registered employer or principal employer as the employer of the Security Guards allotted by the Board.",Yes
1358,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,"Did the lower appellate court accept the testimony of the witnesses regarding the family arrangement between Smt. Sheoraji, Laxmi Narain, and Makundi?","Yes, the lower appellate court accepted the testimony of the witnesses regarding the family arrangement between Smt. Sheoraji, Laxmi Narain, and Makundi.",No
9647,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,Could you determine the legal share of each descendant of Dhanwari Mandal in the suit property based on the joint family's history and current disputes?,"Based on the information provided, the legal share of each descendant of Dhanwari Mandal in the suit property cannot be precisely determined. The joint family continued for some years after Dhanwari Mandal's death, but the descendants separated without a formal partition. The current dispute involves a claim for a 1/4th share by the plaintiff respondent, but without a formal partition or agreement on shares, the exact legal share of each descendant is unclear.",No
23863,low_grounding,Generated answer has low lexical support in the supplied context; inspect for hallucinated or irrelevant detail.,1,0.000,0.000,0.000,Could the court make a ruling on the validity of the findings related to adverse possession and res judicata in this case?,"No, the court cannot make a ruling on the validity of the findings related to adverse possession and res judicata in this case without clear findings on the specified issues.",Yes
